Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R18,R6",R_0603,C21189,2
100nF,"C1,C2,C4,C6",C_0603,C14663,4
10kΩ,"R12,R19,R24",R_0402,C25744,3
10kΩ,"R2,R3",R_0603,C25804,2
10uF,"C14,C15",C_1206,C13585,2
10uF,"C16,C18",C_0603,C19702,2
12pF,"C3,C5",C_0603,C38523,2
15kΩ,R23,R_0402,C25756,1
1kΩ,"R16,R17,R5,R7",R_0603,C21190,4
1uF,"C10,C11,C17",C_0603,C15849,3
220Ω,R28,R_0603,C22962,1
2kΩ,R20,R_0603,C22975,1
330Ω,"R1,R13",R_0402,C25104,2
36kΩ,R4,R_0603,C23147,1
56kΩ,R14,R_0603,C23206,1
AMS1117,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
AO3401A,Q10,Q_SOT-23,C15127,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
M7,D1,D_SMA,C95872,1
MCP4161-502E/SN,U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C636080,1
MMBT5401 200-300,Q11,Q_SOT-23,C8326,1
MMBT5551 200-300,"Q12,Q9",Q_SOT-23,C2145,2
Red,"D3,D5",D_0603,C2286,2
SN74CB3Q3245PWR,U1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C470961,1
SS54,D2,D_SMA,C22452,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
Whatever the chinese man has (preferably 220uF),"C12,C13,C9",CP_Elec_10x10,C178727,3
X322525MOB4SI,X2,OSC-SMD_4P-L3.2-W2.5-BL,C9006,1
XL6019E1,U3,TO-263-5_L10.2-W9.9-P1.70-LS14.4-TL,C73018,1
Conn_01x06_Socket,J9,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,,1
Program,J7,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x04_Socket,J6,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
PMOS,Q1,TO-220-3_Vertical,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
47uH 5A,L1,L_12x12mm_H6mm,,1
CH32V003FxPx,U5,TSSOP-20_4.4x6.5mm_P0.65mm,,1
TestPoint,TP5,TestPoint_Pad_D1.5mm,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
TestPoint,TP4,TestPoint_Pad_D1.5mm,,1
TestPoint,TP6,TestPoint_Pad_D1.5mm,,1
