Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,149.5,-109.5,0.0,top
C10,1uF,C_0603,88.5,-110.0,0.0,top
C11,1uF,C_0603,105.0,-106.25,-90.0,top
C12,Whatever the chinese man has (preferably 220uF),CP_Elec_10x10,134.0,-107.5,90.0,top
C13,Whatever the chinese man has (preferably 220uF),CP_Elec_10x10,122.0,-107.5,0.0,top
C14,10uF,C_1206,107.24675,-106.911089,-90.0,top
C15,10uF,C_1206,89.0,-107.75,0.0,top
C16,10uF,C_0603,166.62,-94.585,0.0,top
C17,1uF,C_0603,104.575,-100.125,180.0,top
C18,10uF,C_0603,166.72,-96.885,0.0,top
C2,100nF,C_0603,171.9,-105.365,90.0,top
C3,12pF,C_0603,167.40375,-115.08,180.0,top
C4,100nF,C_0603,114.87,-118.57,-90.0,top
C5,12pF,C_0603,167.30375,-119.88,0.0,top
C6,100nF,C_0603,164.90375,-114.48,90.0,top
C9,Whatever the chinese man has (preferably 220uF),CP_Elec_10x10,85.0,-116.5,180.0,top
D1,M7,D_SMA,80.75,-127.25,-90.0,top
D2,SS54,D_SMA,103.25,-102.75,180.0,top
D3,Red,D_0603,176.165,-98.005,0.0,top
D5,Red,D_0603,172.30375,-121.28,180.0,top
G***,LOGO,QR,97.1,-114.1,0.0,bottom
H1,M2.5 Mount,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-134.0,0.0,top
H3,M2.5 mount,MountingHole_2.7mm_M2.5,82.0,-134.0,0.0,top
H4,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-92.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.0,-94.0,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,175.895,-104.41,180.0,top
J4,AMASS XT60 Male,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,93.75,-129.625,180.0,top
J5,AMASS XT60 Female,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,110.3,-130.625,180.0,top
J6,Conn_01x04_Socket,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,141.5,-135.055,0.0,top
J7,Program,PinHeader_1x03_P2.54mm_Vertical,159.86,-111.9,-90.0,top
J9,Conn_01x06_Socket,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,161.2,-135.055,0.0,top
L1,47uH 5A,L_12x12mm_H6mm,92.5,-100.0,0.0,top
Q1,PMOS,TO-220-3_Vertical,150.53,-125.75,90.0,top
Q10,AO3401A,Q_SOT-23,142.34,-125.65,180.0,top
Q11,MMBT5401 200-300,Q_SOT-23,137.44,-127.35,0.0,top
Q12,MMBT5551 200-300,Q_SOT-23,133.24,-126.15,0.0,top
Q9,MMBT5551 200-300,Q_SOT-23,137.58,-123.65,180.0,top
R1,330Ω,R_0402,173.7,-98.285,0.0,top
R12,10kΩ,R_0402,169.90375,-119.08,-90.0,top
R13,330Ω,R_0402,169.70375,-121.58,0.0,top
R14,56kΩ,R_0603,114.75,-109.25,-90.0,top
R16,1kΩ,R_0603,114.75,-112.25,-90.0,top
R17,1kΩ,R_0603,154.8,-118.02,-90.0,top
R18,0Ω,R_0603,119.37,-115.57,0.0,top
R19,10kΩ,R_0402,149.0,-108.0,0.0,top
R2,10kΩ,R_0603,143.0,-113.0,180.0,top
R20,2kΩ,R_0603,154.7,-126.3,90.0,top
R23,15kΩ,R_0402,155.1,-130.9,-90.0,top
R24,10kΩ,R_0402,154.1,-130.9,90.0,top
R28,220Ω,R_0603,115.7,-115.25,-90.0,top
R3,10kΩ,R_0603,142.25,-111.25,180.0,top
R4,36kΩ,R_0603,153.5,-128.3,0.0,top
R5,1kΩ,R_0603,132.38,-122.65,-90.0,top
R6,0Ω,R_0603,145.6,-125.65,-90.0,top
R7,1kΩ,R_0603,141.575,-122.75,0.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,172.10375,-117.38,90.0,top
TP4,TestPoint,TestPoint_Pad_D1.5mm,113.5,-117.75,0.0,bottom
TP5,TestPoint,TestPoint_Pad_D1.5mm,118.75,-113.75,0.0,bottom
TP6,TestPoint,TestPoint_Pad_D1.5mm,119.5,-116.5,0.0,bottom
U1,SN74CB3Q3245PWR,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,144.5,-106.5,180.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,168.6,-103.585,180.0,top
U3,XL6019E1,TO-263-5_L10.2-W9.9-P1.70-LS14.4-TL,101.1075,-114.5,180.0,top
U4,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,160.805,-96.885,0.0,top
U5,CH32V003FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,160.31625,-117.78,180.0,top
U6,MCP4161-502E/SN,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,118.12,-120.32,0.0,top
X2,X322525MOB4SI,OSC-SMD_4P-L3.2-W2.5-BL,167.40375,-117.46,180.0,top
